Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_176.jpg;5.010474;0;0;0;99.66999;85.58897;0.0002443632;34.9972;-1.572235E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_243.jpg;9.023809;0;0;0;99.66999;85.58897;0.0002444425;36.37977;-2.892756E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_310.jpg;13.01303;0;0;0;99.66999;85.58897;0.0002412954;39.26406;-4.775551E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_377.jpg;15;0;0;0;99.66999;85.58897;0.0002387209;41.96403;-6.087813E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_443.jpg;15;0;0;0;99.67;85.58897;0.0002359278;44.66399;-7.22297E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_510.jpg;15;0;0;0;99.66998;85.58897;0.000231838;48.26395;-8.356666E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_577.jpg;15;0;0;0;99.66998;85.58897;0.0002283309;50.96393;-8.833907E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_643.jpg;11.00202;0;0;0;99.66998;85.58897;0.0002265674;53.18439;-8.886912E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_710.jpg;7.009563;0;0;0;99.66998;85.58897;0.0002258081;55.10556;-8.335402E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_776.jpg;3.00318;0;0;0;99.66998;85.58897;0.0002276949;55.76632;-7.527018E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_843.jpg;0;0;0;0;99.66998;85.58897;0.0002300743;55.88673;-6.331279E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_910.jpg;0;0;0;0;99.66998;85.58897;0.0002345057;55.88673;-4.610149E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_38_976.jpg;0;0;0;0;99.66998;85.58897;0.0002374976;55.88673;-3.329476E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_043.jpg;0;0;0;0;99.66998;85.58897;0.0002402222;55.88673;-2.107236E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_110.jpg;0;0;0;0;99.66998;85.58897;0.0002433736;55.88673;-5.146827E-06
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_176.jpg;0;0;0;0;99.66998;85.58897;0.000245587;55.88673;5.467487E-06
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_243.jpg;0;0;0;0;99.66998;85.58897;0.0002472188;55.88673;1.506617E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_310.jpg;0;0;0;0;99.66998;85.58898;0.0002487737;55.88673;2.637149E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_376.jpg;0;0;0;0;99.66998;85.58898;0.0002496427;55.88673;3.372674E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_443.jpg;0;0;0;0;99.66998;85.58898;0.0002502514;55.88673;3.938345E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_510.jpg;0;0;0;0;99.66998;85.58898;0.0002503581;55.88673;4.522104E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_576.jpg;0;0;0;0;99.66998;85.58898;0.0002506822;55.88673;4.816708E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_643.jpg;0;0;0;0;99.66998;85.58898;0.0002505106;55.88673;4.945401E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_710.jpg;0;0;0;0;99.66998;85.58898;0.0002500399;55.88673;4.953286E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_776.jpg;0;0;0;0;99.66998;85.58898;0.0002492544;55.88673;4.845463E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_843.jpg;0;0;0;0;99.66998;85.58898;0.0002486567;55.88673;4.676422E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_910.jpg;0;0;0;0;99.66998;85.58898;0.0002469906;55.88673;4.346225E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_39_976.jpg;0;0;0;0;99.66998;85.58898;0.0002455524;55.88673;4.050926E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_40_042.jpg;0;0;0;0;99.66998;85.58898;0.000244106;55.88673;3.721888E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_40_109.jpg;0;0;0;0;99.66998;85.58897;0.0002420695;55.88673;3.18497E-05
Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_43_210.jpg;0;0;0;0;99.66998;85.589;0.0002306245;55.88673;-2.239838E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_43_276.jpg;0;0;0;0;99.66998;85.589;0.0002308686;55.88673;-2.137463E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_43_343.jpg;0;0;0;0;99.66998;85.589;0.00023105;55.88673;-2.014683E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_43_410.jpg;0;0;0;0;99.66998;85.589;0.0002314599;55.88673;-1.784426E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_43_476.jpg;0;0;0;0;99.66998;85.589;0.0002318147;55.88673;-1.572604E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_43_543.jpg;0;0;0;0;99.66998;85.589;0.0002318477;55.88673;-1.365071E-05
/Users/jaredbaggen/PycharmProjects/RoboND-Rover/output/IMG/robocam_2018_11_15_20_03_43_609.jpg;0;0;0;0;99.66998;85.589;0.0002325098;55.88673;-9.987006E-06
